Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],0.0,1.0,40,0.25,0.2,1.0,1.0,CC',0.0,0.0,1.0
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],79.63639763321939,0.9962817266170086,40,0.25,0.2,1.0,1.0,CC',573382.0629591796,0.0073899500483795375,1.0036716766653881
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],137.43377205334284,0.9939240835509168,40,0.25,0.2,1.0,1.0,CC',989523.1587840684,0.009708059576618877,1.0036321431275357
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],203.1662973910685,0.9936514127111844,40,0.25,0.2,1.0,1.0,CC',1462797.3412156932,0.011803519791294242,1.0054549325024786
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],352.4540446902532,0.9801476473908308,40,0.25,0.2,1.0,1.0,CC',2537669.121769823,0.015546654567175846,0.9956943019580067
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],502.6226571273668,0.9642689780446738,40,0.25,0.2,1.0,1.0,CC',3618883.131317041,0.018565503441392885,0.9828344814860667
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],640.5406059540616,0.955622731351504,40,0.25,0.2,1.0,1.0,CC',4611892.362869243,0.02095844381785477,0.9765811751693587
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],969.8985842509678,0.9437406550726948,40,0.25,0.2,1.0,1.0,CC',6983269.806606968,0.02578985274023374,0.9695305078129285
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1286.632100639389,0.9375589595576288,40,0.25,0.2,1.0,1.0,CC',9263751.1246036,0.029703860109657226,0.967262819667286
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1640.0507355119753,0.9319568232518748,40,0.25,0.2,1.0,1.0,CC',11808365.29568622,0.03353623786094866,0.9654930611128234
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1932.7297927918555,0.9266504179529274,40,0.25,0.2,1.0,1.0,CC',13915654.508101359,0.036405857956237235,0.9630562759091645
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],2237.53525103367,0.9213792775879948,40,0.25,0.2,1.0,1.0,CC',16110253.807442425,0.0391715397138554,0.9605508173018502
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],2555.037831336879,0.9175515030552208,40,0.25,0.2,1.0,1.0,CC',18396272.38562553,0.04185856802334022,0.959410071078561
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],2871.95312612165,0.9133818996031504,40,0.25,0.2,1.0,1.0,CC',20678062.508075878,0.04437867927455166,0.957760578877702
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],3189.124780430413,0.9095832121325396,40,0.25,0.2,1.0,1.0,CC',22961698.419098973,0.04676505567350452,0.9563482678060441
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],3508.0205389277367,0.9056275215679248,40,0.25,0.2,1.0,1.0,CC',25257747.880279705,0.04904748729328249,0.9546750088612073
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],3826.028172397516,0.9016790680254916,40,0.25,0.2,1.0,1.0,CC',27547402.841262117,0.05122238326997745,0.952901451295469
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],4144.070219234018,0.8965524834612678,40,0.25,0.2,1.0,1.0,CC',29837305.57848493,0.05330884246724767,0.9498613259285155
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],4509.502679037941,0.8926845424421693,40,0.25,0.2,1.0,1.0,CC',32468419.289073177,0.05560963240307651,0.9482941748452458
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],4826.282970368511,0.8878085708943332,40,0.25,0.2,1.0,1.0,CC',34749237.38665328,0.05752969749082094,0.9453382683851541
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],5144.263530120485,0.8829557554951638,40,0.25,0.2,1.0,1.0,CC',37038697.416867495,0.059394646774069394,0.9423504022692332
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],5462.426019859528,0.8776326995552153,40,0.25,0.2,1.0,1.0,CC',39329467.34298861,0.061203813586573404,0.9388365131417887
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],5780.167279928752,0.8725952547715362,40,0.25,0.2,1.0,1.0,CC',41617204.41548702,0.06295872193512285,0.9355539767066591
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],6097.562903441071,0.8684896213123467,40,0.25,0.2,1.0,1.0,CC',43902452.904775724,0.06466419035720103,0.9331538116695478
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],6413.695522368363,0.8645188655022354,40,0.25,0.2,1.0,1.0,CC',46178607.76105222,0.06631929014149843,0.9308381556437338
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],6731.9487900804215,0.8602862265815449,40,0.25,0.2,1.0,1.0,CC',48470031.28857905,0.06794478073252617,0.928231007314071
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],7050.226633528234,0.8569534210775686,40,0.25,0.2,1.0,1.0,CC',50761631.76140329,0.06953240299124797,0.9264858240688165
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],7338.310103217327,0.8542127810196369,40,0.25,0.2,1.0,1.0,CC',52835832.74316476,0.07093878237394394,0.9251515633935808
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],7564.439698986715,0.8528655694018159,40,0.25,0.2,1.0,1.0,CC',54463965.83270435,0.07202347678680089,0.9248890461886168
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],7895.318559933246,0.8486673536467452,40,0.25,0.2,1.0,1.0,CC',56846293.63151938,0.07358182047381029,0.9222491741205554
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],8490.358721483963,0.8405981154792189,40,0.25,0.2,1.0,1.0,CC',61130582.79468454,0.07630424850979196,0.9169023639890109
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],9108.818545162769,0.8368792674766271,40,0.25,0.2,1.0,1.0,CC',65583493.52517194,0.07903450269856979,0.9159137701751969
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],9583.94442251972,0.8318910834973313,40,0.25,0.2,1.0,1.0,CC',69004399.842142,0.08106956503963213,0.9129606485369635
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],10070.271666935969,0.8274758004848358,40,0.25,0.2,1.0,1.0,CC',72505956.00193898,0.08310100824194283,0.9105768087267787
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],10608.972964224316,0.8222051224646432,40,0.25,0.2,1.0,1.0,CC',76384605.3424151,0.08529476381586466,0.9074998862805078
