Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.993,"TP_40°C,87.5%SOC",40.0,0.875,1.0,0.0890369245479685
160,2.945,"TP_40°C,87.5%SOC",40.0,0.875,0.9839625793518209,0.0890369245479685
277,2.93,"TP_40°C,87.5%SOC",40.0,0.875,0.978950885399265,0.0890369245479685
409,2.918,"TP_40°C,87.5%SOC",40.0,0.875,0.9749415302372203,0.0890369245479685
708,2.899,"TP_40°C,87.5%SOC",40.0,0.875,0.9685933845639827,0.0890369245479685
1009,2.884,"TP_40°C,87.5%SOC",40.0,0.875,0.9635816906114266,0.0890369245479685
1286,2.871,"TP_40°C,87.5%SOC",40.0,0.875,0.9592382225192115,0.0890369245479685
1945,2.851,"TP_40°C,87.5%SOC",40.0,0.875,0.9525559639158035,0.0890369245479685
2579,2.834,"TP_40°C,87.5%SOC",40.0,0.875,0.9468760441029068,0.0890369245479685
3287,2.819,"TP_40°C,87.5%SOC",40.0,0.875,0.9418643501503509,0.0890369245479685
3873,2.807,"TP_40°C,87.5%SOC",40.0,0.875,0.937854994988306,0.0890369245479685
4483,2.795,"TP_40°C,87.5%SOC",40.0,0.875,0.9338456398262613,0.0890369245479685
5119,2.784,"TP_40°C,87.5%SOC",40.0,0.875,0.9301703975943869,0.0890369245479685
5753,2.773,"TP_40°C,87.5%SOC",40.0,0.875,0.9264951553625126,0.0890369245479685
6388,2.765,"TP_40°C,87.5%SOC",40.0,0.875,0.9238222519211494,0.0890369245479685
7027,2.754,"TP_40°C,87.5%SOC",40.0,0.875,0.920147009689275,0.0890369245479685
7663,2.745,"TP_40°C,87.5%SOC",40.0,0.875,0.9171399933177414,0.0890369245479685
8300,2.738,"TP_40°C,87.5%SOC",40.0,0.875,0.9148012028065486,0.0890369245479685
9032,2.729,"TP_40°C,87.5%SOC",40.0,0.875,0.9117941864350151,0.0890369245479685
9666,2.72,"TP_40°C,87.5%SOC",40.0,0.875,0.9087871700634815,0.0890369245479685
10302,2.713,"TP_40°C,87.5%SOC",40.0,0.875,0.9064483795522887,0.0890369245479685
10939,2.705,"TP_40°C,87.5%SOC",40.0,0.875,0.9037754761109256,0.0890369245479685
11575,2.698,"TP_40°C,87.5%SOC",40.0,0.875,0.9014366855997328,0.0890369245479685
12211,2.691,"TP_40°C,87.5%SOC",40.0,0.875,0.8990978950885399,0.0890369245479685
12844,2.685,"TP_40°C,87.5%SOC",40.0,0.875,0.8970932175075176,0.0890369245479685
13481,2.678,"TP_40°C,87.5%SOC",40.0,0.875,0.8947544269963248,0.0890369245479685
14119,2.672,"TP_40°C,87.5%SOC",40.0,0.875,0.8927497494153025,0.0890369245479685
14695,2.666,"TP_40°C,87.5%SOC",40.0,0.875,0.89074507183428,0.0890369245479685
15148,2.664,"TP_40°C,87.5%SOC",40.0,0.875,0.8900768459739393,0.0890369245479685
15811,2.656,"TP_40°C,87.5%SOC",40.0,0.875,0.887403942532576,0.0890369245479685
17001,2.646,"TP_40°C,87.5%SOC",40.0,0.875,0.884062813230872,0.0890369245479685
18239,2.637,"TP_40°C,87.5%SOC",40.0,0.875,0.8810557968593385,0.0890369245479685
19190,2.629,"TP_40°C,87.5%SOC",40.0,0.875,0.8783828934179753,0.0890369245479685
20163,2.622,"TP_40°C,87.5%SOC",40.0,0.875,0.8760441029067825,0.0890369245479685
21241,2.615,"TP_40°C,87.5%SOC",40.0,0.875,0.8737053123955898,0.0890369245479685
