Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],0.0,1.0,40,0.5,0.1,1.0,1.0,CC',0.0,0.0,1.0
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],79.54886811725808,0.9822132814272418,40,0.5,0.1,1.0,1.0,CC',572751.8504442582,0.007977292721835803,0.9901905741490776
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],137.23382349542896,0.970483850232977,40,0.5,0.1,1.0,1.0,CC',988083.5291670886,0.010477775960383757,0.9809616261933608
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],202.75155323308857,0.9569248764014158,40,0.5,0.1,1.0,1.0,CC',1459811.1832782377,0.012735635510125626,0.9696605119115413
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],351.8306412852247,0.9250665990470004,40,0.5,0.1,1.0,1.0,CC',2533180.617253618,0.01677665432510189,0.9418432533721023
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],501.8767637335847,0.8939433242148728,40,0.5,0.1,1.0,1.0,CC',3613512.6988818096,0.020037201733716564,0.9139805259485894
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],639.6825421447647,0.8680978239278866,40,0.5,0.1,1.0,1.0,CC',4605714.303442306,0.022621467518684685,0.8907192914465712
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],968.9402748876134,0.8186835984916766,40,0.5,0.1,1.0,1.0,CC',6976369.979190817,0.02784114103317229,0.8465247395248489
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],1285.5921598077446,0.7920826304142251,40,0.5,0.1,1.0,1.0,CC',9256263.550615761,0.03206934825416102,0.8241519786683862
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],1638.9394864460185,0.7826202236819132,40,0.5,0.1,1.0,1.0,CC',11800364.302411333,0.03620928803410329,0.8188295117160165
['Testpoint Cyclization_40°C_50%SOC_10%DOD_1C_1C_CC'],1931.5474837472952,0.7827003801292403,40,0.5,0.1,1.0,1.0,CC',13907141.882980525,0.03930892985221905,0.8220093099814593
