label,file,a_long,b_global,q4_breakin,q5_global,q6_global
1,1_longterm.csv,0.08400106155832554,0.49551317765671804,0.0550735445398702,0.0021196826340893,0.976127386029498
2,2_longterm.csv,0.09230278345846504,0.49551317765671804,0.0580362807922857,0.0021196826340893,0.976127386029498
3,3_longterm.csv,0.054007971753576314,0.49551317765671804,0.037798481798148,0.0021196826340893,0.976127386029498
4,4_longterm.csv,0.1096429718760524,0.49551317765671804,0.1841852610735125,0.0021196826340893,0.976127386029498
5,5_longterm.csv,0.10493380943435587,0.49551317765671804,0.0603525202307773,0.0021196826340893,0.976127386029498
6,6_longterm.csv,0.11320007193101758,0.49551317765671804,0.0610963594258362,0.0021196826340893,0.976127386029498
7,7_longterm.csv,0.12286580052262862,0.49551317765671804,0.2074172877967794,0.0021196826340893,0.976127386029498
8,8_longterm.csv,0.12147359937625885,0.49551317765671804,0.1557594059711102,0.0021196826340893,0.976127386029498
9,9_longterm.csv,0.07228640413050441,0.49551317765671804,0.1159569938403642,0.0021196826340893,0.976127386029498
10,10_longterm.csv,0.0667439611459704,0.49551317765671804,0.0444279253933472,0.0021196826340893,0.976127386029498
11,11_longterm.csv,0.07843109204556704,0.49551317765671804,0.0594605914741046,0.0021196826340893,0.976127386029498
12,12_longterm.csv,0.09001317211382369,0.49551317765671804,0.0632078536818863,0.0021196826340893,0.976127386029498
13,13_longterm.csv,0.08599879173326126,0.49551317765671804,0.0600130162000057,0.0021196826340893,0.976127386029498
14,14_longterm.csv,0.09914720892479693,0.49551317765671804,0.0684145252776573,0.0021196826340893,0.976127386029498
15,15_longterm.csv,0.18826581549499,0.49551317765671804,0.0622320721172379,0.0021196826340893,0.976127386029498
16,16_longterm.csv,0.0825417490330506,0.49551317765671804,0.0946894474510113,0.0021196826340893,0.976127386029498
