Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1268.1278426264032,0.9486715219659602,25,0.5,1.0,1.0,1.0,CC',9130520.466910103,0.0228767540053896,0.97154827597135,1,0.9709141224494737,-6.233126766635305e-17
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1579.7949455835865,0.9379279104889252,25,0.5,1.0,1.0,1.0,CC',11374523.608201824,0.0255336701214538,0.9634615806103792,1,0.9645672279574253,-3.208135606482174e-16
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1862.287919884437,0.9294164014252154,25,0.5,1.0,1.0,1.0,CC',13408473.02316795,0.0277227492193572,0.9571391506445728,1,0.958473511453508,-3.8074889791516204e-16
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2084.216915273355,0.9224987090943276,25,0.5,1.0,1.0,1.0,CC',15006361.789968155,0.0293281278881992,0.9518268369825268,1,0.950791455706069,3.5703361534364984e-17
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2408.882727374216,0.9136149283024214,25,0.5,1.0,1.0,1.0,CC',17343955.637094356,0.0315297634187919,0.9451446917212132,1,0.9417758568775124,3.7207740153212146e-16
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2992.569900453568,0.8972316906437703,25,0.5,1.0,1.0,1.0,CC',21546503.28326569,0.0351426927077702,0.9323743833515404,1,0.9316859423593993,3.0472650439232226e-17
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],3599.818357183812,0.8805171626912766,25,0.5,1.0,1.0,1.0,CC',25918692.171723448,0.0385436799901408,0.9190608426814174,1,0.9205823306656746,-2.5065252130226014e-16
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4066.568285724505,0.866075209676434,25,0.5,1.0,1.0,1.0,CC',29279291.65721644,0.0409663166868319,0.907041526363266,1,0.908502770067959,-1.6367641908649718e-16
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4447.109023336823,0.8521612556913497,25,0.5,1.0,1.0,1.0,CC',32019184.96802513,0.0428402278052194,0.8950014834965692,1,0.8954850088378753,4.892005853273642e-17
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4965.893720165512,0.8373451397978037,25,0.5,1.0,1.0,1.0,CC',35754434.785191685,0.0452701145644186,0.8826152543622223,1,0.8815667952470466,1.5829961036185848e-16
