Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1285.8347658870505,0.7685173802411495,40,0.5,0.2,1.0,1.0,CC',9258010.314386765,0.0320723740395031,0.8005897542806526,7,0.8175256774304602,1.6997580834766173e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1639.212348096297,0.7706514878000542,40,0.5,0.2,1.0,1.0,CC',11802328.906293338,0.036212302091357,0.8068637898914113,7,0.8092283970853948,1.5533591488935386e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1931.845306079283,0.7728905356068659,40,0.5,0.2,1.0,1.0,CC',13909286.203770837,0.0393119602270909,0.8122024958339569,7,0.8093623936699694,1.2903653813669233e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],2236.603248425194,0.7790563283809435,40,0.5,0.2,1.0,1.0,CC',16103543.388661396,0.0422992826137589,0.8213556109947024,7,0.8160598371960943,6.799382126177415e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],2554.053317804715,0.7863281045267875,40,0.5,0.2,1.0,1.0,CC',18389183.888193943,0.0452015685746231,0.8315296731014107,7,0.8278621849303509,-1.834241865461843e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],2870.911952036041,0.7901210513404294,40,0.5,0.2,1.0,1.0,CC',20670566.054659493,0.0479234927728248,0.8380445441132544,7,0.8365393084713815,-4.319206220165544e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],3188.024940743475,0.7941359925834398,40,0.5,0.2,1.0,1.0,CC',22953779.57335302,0.0505009306350714,0.8446369232185112,7,0.842703207046077,-2.6776643129306284e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],3506.8602741970285,0.7945251884858601,40,0.5,0.2,1.0,1.0,CC',25249393.974218603,0.0529660708872204,0.8474912593730806,7,0.8480356888191853,-2.1561823802702176e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],3824.8052448784783,0.7952946526250151,40,0.5,0.2,1.0,1.0,CC',27538597.763125043,0.0553150347233719,0.850609687348387,7,0.852000973893672,-1.9276618795917599e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],4142.7838539925415,0.7953278813554707,40,0.5,0.2,1.0,1.0,CC',29828043.7487463,0.0575684668686795,0.8528963482241503,7,0.8550101381512447,-1.3660538311518436e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],4508.151510143041,0.7993736695591019,40,0.5,0.2,1.0,1.0,CC',32458690.8730299,0.0600534245261231,0.8594270940852251,7,0.8575076094704189,-8.496913003985457e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],4824.8619463617815,0.7981587431255709,40,0.5,0.2,1.0,1.0,CC',34739006.01380483,0.0621270842739001,0.8602858273994711,7,0.8593443952984166,-9.297120247815996e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],5142.773255874621,0.7967651494368443,40,0.5,0.2,1.0,1.0,CC',37027967.44229727,0.0641412197690471,0.8609063692058914,7,0.8607737080946158,-1.3287547770658354e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],5460.865020641511,0.7949737730331403,40,0.5,0.2,1.0,1.0,CC',39318228.14861888,0.0660950974464054,0.8610688704795457,7,0.8613911953848167,-1.7509728058203111e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],5778.53419341636,0.7928149609506413,40,0.5,0.2,1.0,1.0,CC',41605446.19259779,0.0679903645814131,0.8608053255320544,7,0.8612627997889173,-1.1750523153308713e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],6095.857898694056,0.7906172072417362,40,0.5,0.2,1.0,1.0,CC',43890176.8705972,0.0698322352471297,0.8604494424888659,7,0.8597729868165727,5.1636787855790405e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],6411.756178199147,0.7879673609671612,40,0.5,0.2,1.0,1.0,CC',46164644.48303386,0.0716187976487418,0.8595861586159032,7,0.859293191019755,9.096574394437989e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],6729.935893994764,0.7851776337501857,40,0.5,0.2,1.0,1.0,CC',48455538.4367623,0.0733743031882929,0.8585519369384786,7,0.8592254282113263,2.6874153183550893e-18
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],7048.141051195385,0.7824247414434797,40,0.5,0.2,1.0,1.0,CC',50746615.56860678,0.0750889133800821,0.8575136548235619,7,0.8592142760149613,-8.145090623022102e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],7336.151376648389,0.7797399070406379,40,0.5,0.2,1.0,1.0,CC',52820289.9118684,0.0766077431520899,0.8563476501927278,7,0.8587955960974559,-1.0889111500034647e-16
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],7562.207716932418,0.7840241483718152,40,0.5,0.2,1.0,1.0,CC',54447895.561913416,0.0777790845734662,0.8618032329452815,7,0.8580208645282155,-6.063825161273044e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],7893.012937344823,0.7796195366121345,40,0.5,0.2,1.0,1.0,CC',56829693.14888272,0.0794620808416306,0.8590816174537651,7,0.8566316915288272,6.5081613789575495e-18
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],8487.943940887973,0.772661479196128,40,0.5,0.2,1.0,1.0,CC',61113196.37439341,0.0824023841872641,0.8550638633833921,7,0.8548439306814306,-3.7663779590510996e-19
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],9106.33989663577,0.7659523662086816,40,0.5,0.2,1.0,1.0,CC',65565647.25577755,0.0853513617378131,0.8513037279464948,7,0.8528562513260648,-1.8944290749568024e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],9581.390792975795,0.762238223368796,40,0.5,0.2,1.0,1.0,CC',68986013.70942573,0.0875493252347068,0.8497875486035028,7,0.8507947287204491,9.366783900319743e-19
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],10067.645342154963,0.7579031852048312,40,0.5,0.2,1.0,1.0,CC',72487046.46351574,0.0897433919736714,0.8476465771785027,7,0.8487854381223049,1.59816549979064e-17
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],10606.284183692564,0.7562201451520322,40,0.5,0.2,1.0,1.0,CC',76365246.12258647,0.0921128364703369,0.8483329816223691,7,0.8469544547893534,1.3794347179804979e-17
