Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1289.3704224178407,0.929831016200425,40,0.5,1.0,1.0,1.0,CC',9283467.041408451,0.0321164384313423,0.9619474546317672,5,0.9621302718008178,-4.7287119832309916e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1643.1129707328328,0.9193549602532342,40,0.5,1.0,1.0,1.0,CC',11830413.389276396,0.036255361368066,0.9556103216213002,5,0.9564059609988207,-8.997167439922548e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1936.1121430988337,0.9108985790902708,40,0.5,1.0,1.0,1.0,CC',13940007.430311603,0.0393553501426522,0.9502539292329232,5,0.9504536805759123,-7.756214522672437e-18
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2241.237508055259,0.9022899081993416,40,0.5,1.0,1.0,1.0,CC',16136910.057997864,0.0423430821614022,0.944632990360744,5,0.9445082640143625,7.606807240569584e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2559.0579097733507,0.8937152485551284,40,0.5,1.0,1.0,1.0,CC',18425216.950368125,0.0452458324704312,0.9389610810255596,5,0.9389097753196554,3.3128817394642916e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2876.2897667361785,0.8854150707754952,40,0.5,1.0,1.0,1.0,CC',20709286.32050049,0.0479683571031549,0.93338342787865,5,0.9334178224688583,-1.1884546334676012e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3193.7781818153967,0.877220410503841,40,0.5,1.0,1.0,1.0,CC',22995202.909070857,0.0505464781244909,0.927766888628332,5,0.927816967942154,-2.5567127016914266e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3512.9905668872566,0.8690870705376482,40,0.5,1.0,1.0,1.0,CC',25293532.08158825,0.0530123452916625,0.9220994158293108,5,0.9220488624666103,-1.5594898597952906e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3824.815554385976,0.8611906110916947,40,0.5,1.0,1.0,1.0,CC',27538671.99157903,0.0553151092723155,0.9165057203640102,5,0.916259462691539,3.76467622875937e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4143.170831334692,0.8532941759703493,40,0.5,1.0,1.0,1.0,CC',29830829.98560978,0.0575711555404604,0.9108653315108096,5,0.9104721086609858,4.4224284773875954e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4508.917439901826,0.8441126356814221,40,0.5,1.0,1.0,1.0,CC',32464205.567293145,0.06005852581335,0.9041711614947722,5,0.9047002684886075,-2.5948344245986394e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4826.006091899513,0.8366245056924059,40,0.5,1.0,1.0,1.0,CC',34747243.86167649,0.0621344501025491,0.898758955794955,5,0.8989792250987467,-1.6008015184036812e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],5144.2946544237775,0.8291591350144003,40,0.5,1.0,1.0,1.0,CC',37038921.51185119,0.0641507065904329,0.8933098416048333,5,0.8933645007525279,1.5462203399920645e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],5462.763145503026,0.8217928440226624,40,0.5,1.0,1.0,1.0,CC',39331894.64762178,0.0661065833417103,0.8878994273643728,5,0.8878264107677916,8.930526853537987e-18
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],5780.808233366051,0.814409828466069,40,0.5,1.0,1.0,1.0,CC',41621819.280235566,0.0680037414683351,0.8824135699344041,5,0.8823327511359605,1.1554089364285803e-18
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],6098.506613975411,0.8071054262225709,40,0.5,1.0,1.0,1.0,CC',43909247.62062296,0.0698474050250079,0.8769528312475788,5,0.8768786693909767,1.570718341000502e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],6415.188200662198,0.7998882351908021,40,0.5,1.0,1.0,1.0,CC',46189355.04476783,0.0716379627910427,0.8715261979818448,5,0.871362568292372,3.369356820704943e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],6733.740533051157,0.7923150479991218,40,0.5,1.0,1.0,1.0,CC',48482931.837968335,0.0733950406292119,0.8657100886283338,5,0.86626919765126,-6.553709744299406e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],7052.317102132409,0.7847792712442807,40,0.5,1.0,1.0,1.0,CC',50776683.13535334,0.0751111553223147,0.8598904265665954,5,0.861051249723362,-3.592933424968739e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],7340.697461721449,0.7777400313524504,40,0.5,1.0,1.0,1.0,CC',52853021.72439443,0.0766314757172301,0.8543715070696806,5,0.8549588251401983,-3.1548589631547474e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],7567.124406179819,0.7712699146680663,40,0.5,1.0,1.0,1.0,CC',54483295.724494696,0.0778043651175161,0.8490742797855824,5,0.8478403923745692,9.123551364010872e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],7898.299724029914,0.7632892740302609,40,0.5,1.0,1.0,1.0,CC',56867758.01301538,0.0794886884724325,0.8427779625026934,5,0.839774607464855,3.396972568773287e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],8493.598061817533,0.7487228275877783,40,0.5,1.0,1.0,1.0,CC',61153906.04508624,0.0824298251955841,0.8311526527833625,5,0.8306049650972276,2.8261766654290984e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],9112.358669435553,0.7333265584467009,40,0.5,1.0,1.0,1.0,CC',65608982.41993598,0.0853795632767944,0.8187061217234953,5,0.8206239149683058,-1.2640914567616007e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],9587.771298323769,0.7210979316285072,40,0.5,1.0,1.0,1.0,CC',69031953.34793113,0.0875784711062571,0.8086764027347644,5,0.8099208402491832,-6.091852696568615e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],10074.385833262117,0.7089056046741263,40,0.5,1.0,1.0,1.0,CC',72535577.99948724,0.089773429450074,0.7986790341242004,5,0.7985851241109557,1.5386192413484278e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],10613.384360719085,0.6952688440180248,40,0.5,1.0,1.0,1.0,CC',76416367.39717741,0.0921436629132144,0.7874125069312392,5,0.7867061497247191,2.3625004064251023e-17
