Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],0.0,1.0,40,0.5,1.0,1.0,1.0,CC',0.0,0.0,1.0
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],80.11225363814856,0.9847034941158967,40,0.5,1.0,1.0,1.0,CC',576808.2261946696,0.008005491500426173,0.9927089856163229
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],138.32535165589698,0.9784193197791514,40,0.5,1.0,1.0,1.0,CC',995942.5319224582,0.010519362414030686,0.9889386821931822
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],204.3208931592397,0.9731919282938336,40,0.5,1.0,1.0,1.0,CC',1471110.4307465258,0.012784828758991895,0.9859767570528255
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],353.8718568450382,0.9645404754285088,40,0.5,1.0,1.0,1.0,CC',2547877.369284275,0.016825250493172402,0.9813657259216813
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],504.3748380116895,0.9575034477503216,40,0.5,1.0,1.0,1.0,CC',3631498.833684164,0.02008700707475487,0.9775904548250764
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],642.6230174727128,0.9516764237478128,40,0.5,1.0,1.0,1.0,CC',4626885.725803532,0.022673400779366384,0.9743498245271792
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],972.3110831485678,0.9400608413994128,40,0.5,1.0,1.0,1.0,CC',7000639.798669688,0.02788952671389726,0.96795036811331
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1289.3704224178407,0.929831016200425,40,0.5,1.0,1.0,1.0,CC',9283467.041408453,0.03211643843134234,0.9619474546317673
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1643.1129707328328,0.9193549602532342,40,0.5,1.0,1.0,1.0,CC',11830413.389276396,0.03625536136806607,0.9556103216213002
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],1936.1121430988337,0.9108985790902708,40,0.5,1.0,1.0,1.0,CC',13940007.430311603,0.039355350142652255,0.9502539292329231
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2241.237508055259,0.9022899081993416,40,0.5,1.0,1.0,1.0,CC',16136910.057997864,0.042343082161402236,0.9446329903607439
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2559.0579097733507,0.8937152485551284,40,0.5,1.0,1.0,1.0,CC',18425216.950368125,0.0452458324704312,0.9389610810255596
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],2876.2897667361785,0.8854150707754952,40,0.5,1.0,1.0,1.0,CC',20709286.320500486,0.04796835710315494,0.9333834278786501
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3193.7781818153967,0.877220410503841,40,0.5,1.0,1.0,1.0,CC',22995202.909070857,0.050546478124490986,0.927766888628332
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3512.9905668872566,0.8690870705376482,40,0.5,1.0,1.0,1.0,CC',25293532.08158825,0.053012345291662585,0.9220994158293108
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],3824.815554385976,0.8611906110916947,40,0.5,1.0,1.0,1.0,CC',27538671.99157903,0.05531510927231555,0.9165057203640102
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4143.170831334692,0.8532941759703493,40,0.5,1.0,1.0,1.0,CC',29830829.98560978,0.057571155540460446,0.9108653315108097
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4508.917439901826,0.8441126356814221,40,0.5,1.0,1.0,1.0,CC',32464205.567293145,0.060058525813350014,0.9041711614947722
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],4826.006091899513,0.8366245056924059,40,0.5,1.0,1.0,1.0,CC',34747243.86167649,0.06213445010254918,0.898758955794955
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC'],5144.2946544237775,0.8291591350144003,40,0.5,1.0,1.0,1.0,CC',37038921.51185119,0.06415070659043298,0.8933098416048333
