Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],203.36429197138145,0.9729118481352708,40,0.5,0.8,1.0,1.0,CC',1464222.9021939463,0.012754865277154,0.9856667134124248,14,0.9844094987628371,3.425099539062154e-15
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],352.60735309721736,0.9607891442363128,40,0.5,0.8,1.0,1.0,CC',2538772.942299965,0.0167951624370736,0.9775843066733864,14,0.977870435146136,1.5807023436903807e-15
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],502.80572146389807,0.950742517663374,40,0.5,0.8,1.0,1.0,CC',3620201.1945400657,0.0200557372681396,0.9707982549315136,14,0.9708014081922696,1.2384766154004528e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],640.7521012515772,0.9430203916044116,40,0.5,0.8,1.0,1.0,CC',4613415.129011355,0.0226403713419444,0.965660762946356,14,0.9634390590250076,9.444080006582672e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],970.1406087838096,0.9272179044197332,40,0.5,0.8,1.0,1.0,CC',6985012.383243429,0.0278583806519134,0.9550762850716464,14,0.955752921528108,6.935103579884066e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],1286.9049980422108,0.9154559256666062,40,0.5,0.8,1.0,1.0,CC',9265715.985903917,0.0320857185793722,0.9475416442459784,14,0.948439222613676,1.3523417626590183e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],1640.3560958966336,0.90430573873023,40,0.5,0.8,1.0,1.0,CC',11810563.890455762,0.0362249333159516,0.9405306720461816,14,0.9421665615397936,8.072401691863557e-17
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],1933.067246505024,0.8966029991277362,40,0.5,0.8,1.0,1.0,CC',13918084.174836174,0.0393243911602345,0.9359273902879708,14,0.9365074553432541,1.4667654764048773e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],2237.9069302956377,0.8897619576956384,40,0.5,0.8,1.0,1.0,CC',16112929.898128591,0.0423116086207272,0.9320735663163656,14,0.9316227030447938,1.8832906514850185e-16
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],2555.443844195392,0.883028670503241,40,0.5,0.8,1.0,1.0,CC',18399195.678206824,0.0452138716500627,0.9282425421533036,14,0.9278731098230493,7.011407920618838e-17
['Testpoint Cyclization_40°C_50%SOC_80%DOD_1C_1C_CC'],3824.05468353444,0.8572233549418017,40,0.5,0.8,1.0,1.0,CC',27533193.721447967,0.0553096070791993,0.9125329620210012,14,0.9123156637559242,6.8436534314421514e-18
