Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],351.95230708141,0.9137056403756952,40,0.5,0.2,1.0,1.0,CC',2534056.610986152,0.0167795548237165,0.930485195199412,7,0.9281722353510522,5.8540480969961834e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],502.02687055256985,0.8780936763389239,40,0.5,0.2,1.0,1.0,CC',3614593.467978503,0.0200401979829644,0.8981338743218883,7,0.8935900613015328,2.867434794829196e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],639.8621908288542,0.8483986655903574,40,0.5,0.2,1.0,1.0,CC',4607007.773967749,0.0226246438063869,0.8710233093967443,7,0.8627177474977468,6.411188100046099e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],969.1504301846307,0.7919598710055425,40,0.5,0.2,1.0,1.0,CC',6977883.097329341,0.0278441601284625,0.8198040311340051,7,0.8360951375068644,4.076897767054977e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1285.8347658870505,0.7685173802411495,40,0.5,0.2,1.0,1.0,CC',9258010.314386765,0.0320723740395031,0.8005897542806526,7,0.8175256774304602,1.6997580834766173e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1639.212348096297,0.7706514878000542,40,0.5,0.2,1.0,1.0,CC',11802328.906293338,0.036212302091357,0.8068637898914113,7,0.8092283970853948,1.5533591488935386e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],1931.845306079283,0.7728905356068659,40,0.5,0.2,1.0,1.0,CC',13909286.203770837,0.0393119602270909,0.8122024958339569,7,0.8093623936699694,1.2903653813669233e-15
['Testpoint Cyclization_40°C_50%SOC_20%DOD_1C_1C_CC'],2236.603248425194,0.7790563283809435,40,0.5,0.2,1.0,1.0,CC',16103543.388661396,0.0422992826137589,0.8213556109947024,7,0.8160598371960943,6.799382126177415e-16
