label,file,q4,q5_global,q6_global
1,1_breakin.csv,0.05507354453987027,0.0021196826340893165,0.976127386029498
2,2_breakin.csv,0.058036280792285795,0.0021196826340893165,0.976127386029498
3,3_breakin.csv,0.03779848179814801,0.0021196826340893165,0.976127386029498
4,4_breakin.csv,0.18418526107351255,0.0021196826340893165,0.976127386029498
5,5_breakin.csv,0.06035252023077732,0.0021196826340893165,0.976127386029498
6,6_breakin.csv,0.06109635942583621,0.0021196826340893165,0.976127386029498
7,7_breakin.csv,0.2074172877967794,0.0021196826340893165,0.976127386029498
8,8_breakin.csv,0.1557594059711102,0.0021196826340893165,0.976127386029498
9,9_breakin.csv,0.11595699384036422,0.0021196826340893165,0.976127386029498
10,10_breakin.csv,0.04442792539334725,0.0021196826340893165,0.976127386029498
11,11_breakin.csv,0.05946059147410469,0.0021196826340893165,0.976127386029498
12,12_breakin.csv,0.06320785368188638,0.0021196826340893165,0.976127386029498
13,13_breakin.csv,0.06001301620000574,0.0021196826340893165,0.976127386029498
14,14_breakin.csv,0.06841452527765739,0.0021196826340893165,0.976127386029498
15,15_breakin.csv,0.06223207211723792,0.0021196826340893165,0.976127386029498
16,16_breakin.csv,0.09468944745101139,0.0021196826340893165,0.976127386029498
