Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],352.4540446902532,0.9801476473908308,40,0.25,0.2,1.0,1.0,CC',2537669.121769823,0.0155466545671758,0.9956943019580068,3,0.9944911993104147,5.70290830515418e-17
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],502.6226571273668,0.9642689780446738,40,0.25,0.2,1.0,1.0,CC',3618883.131317041,0.0185655034413928,0.9828344814860668,3,0.9864551034568041,4.504437463226701e-16
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],640.5406059540616,0.955622731351504,40,0.25,0.2,1.0,1.0,CC',4611892.362869243,0.0209584438178547,0.9765811751693588,3,0.9791802396058692,1.4074126545146297e-15
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],969.8985842509678,0.9437406550726948,40,0.25,0.2,1.0,1.0,CC',6983269.806606968,0.0257898527402337,0.9695305078129284,3,0.9725297637853807,8.796743860565638e-16
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1286.632100639389,0.9375589595576288,40,0.25,0.2,1.0,1.0,CC',9263751.1246036,0.0297038601096572,0.967262819667286,3,0.9671153588785122,3.3519365401717626e-16
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1640.0507355119753,0.9319568232518748,40,0.25,0.2,1.0,1.0,CC',11808365.29568622,0.0335362378609486,0.9654930611128234,3,0.9641648852379032,1.9542661939375245e-16
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],1932.7297927918555,0.9266504179529274,40,0.25,0.2,1.0,1.0,CC',13915654.50810136,0.0364058579562372,0.9630562759091644,3,0.9624404544356113,7.438663694093938e-17
['Testpoint Cyclization_40°C_25%SOC_20%DOD_1C_1C_CC'],2237.53525103367,0.9213792775879948,40,0.25,0.2,1.0,1.0,CC',16110253.807442425,0.0391715397138554,0.9605508173018502,3,0.9607833566255032,3.101818338047496e-17
