Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],203.0096396764306,0.9587426535236516,40,0.5,0.4,1.0,1.0,CC',1461669.4056703004,0.0127437386528562,0.971486392176508,8,0.9663394352492007,6.90390644951693e-16
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],352.16048954098943,0.9263271237831976,40,0.5,0.4,1.0,1.0,CC',2535555.524695124,0.0167845167070618,0.9431116404902594,8,0.9430208654504583,5.1551426338218e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],502.2759598703253,0.8987454625667822,40,0.5,0.4,1.0,1.0,CC',3616386.911066342,0.020045169011905,0.9187906315786872,8,0.9176955362629442,2.4572198234714615e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],640.1475228815771,0.8767398123796614,40,0.5,0.4,1.0,1.0,CC',4609062.164747355,0.022629687717902,0.8993695000975634,8,0.895708595650954,4.831869484021774e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],969.467513889189,0.8371205672848557,40,0.5,0.4,1.0,1.0,CC',6980166.10000216,0.0278487147399714,0.8649692820248271,8,0.8771651750088552,2.855720057806903e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1286.1742524437982,0.8231868149694531,40,0.5,0.4,1.0,1.0,CC',9260454.617595349,0.0320766076399393,0.8552634226093925,8,0.864231651548995,1.0821676256978816e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1639.569458891956,0.8203040070031363,40,0.5,0.4,1.0,1.0,CC',11804900.104022082,0.036216246394177,0.8565202533973133,8,0.8571574892512293,1.0195273315342085e-15
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1932.2224989517103,0.8210725489143735,40,0.5,0.4,1.0,1.0,CC',13912001.992452314,0.0393157978706697,0.8603883467850433,8,0.856259978891716,8.199985123866488e-16
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],2237.00120602503,0.8211074214589962,40,0.5,0.4,1.0,1.0,CC',16106408.683380216,0.0423030455905578,0.863410467049554,8,0.8594995787992236,3.201272657314141e-16
