Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle,LABLE,q_smooth,d2q_dt2
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],136.4222817541376,0.9805093823757912,40,0.5,1.0,1.0,1.0,CC+CV',982240.4286297908,0.010446749495354,0.9909561318711452,6,0.9914371878304267,1.6659808185207944e-15
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],201.6017516333337,0.9753494992501132,40,0.5,1.0,1.0,1.0,CC+CV',1451532.6117600026,0.0126994723497488,0.988048971599862,6,0.9876034275768143,3.932018154613148e-15
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],349.3694484210796,0.9667096892568696,40,0.5,1.0,1.0,1.0,CC+CV',2515460.028631773,0.0167178717154067,0.9834275609722763,6,0.9837067551038156,1.1865634892013445e-15
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],634.7315485145912,0.953992073736256,40,0.5,1.0,1.0,1.0,CC+CV',4570067.149305056,0.0225337550301027,0.9765258287663588,6,0.9749876769293542,4.296037896470869e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],960.5211468910388,0.9423105007837872,40,0.5,1.0,1.0,1.0,CC+CV',6915752.257615479,0.0277199212160693,0.9700304219998566,6,0.9697818451550653,3.1828077198818357e-16
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],2213.5639119379894,0.9035513230248476,40,0.5,1.0,1.0,1.0,CC+CV',15937660.16595352,0.0420808553784494,0.945632178403297,6,0.9452865838298504,4.221734916944662e-17
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],2527.2055875300384,0.8942892263260336,40,0.5,1.0,1.0,1.0,CC+CV',18195880.230216272,0.044963365722087,0.9392525920481206,6,0.9388607973531218,7.024388663851816e-18
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],3784.131647893923,0.8571182261081637,40,0.5,1.0,1.0,1.0,CC+CV',27245747.86483624,0.055020134114209,0.9121383602223728,6,0.9119309703813185,5.63964076037319e-17
