complexity,loss,equation,score,sympy_format,lambda_format
16,5.5225977e-05,(((sqrt(sqrt(x1)) + 3.5992773) / (355.28506 - x0)) + (exp(x1) * 0.037921913)) + -0.08582125,0.1935451977724761,0.037921913*exp(x1) - 0.08582125 + (x1**(1/4) + 3.5992773)/(355.28506 - x0),PySRFunction(X=>0.037921913*exp(x1) - 0.08582125 + (x1**(1/4) + 3.5992773)/(355.28506 - x0))
1,0.003496921,0.09040683,0.0,0.0904068300000000,PySRFunction(X=>0.0904068300000000)
3,0.0030795734,x0 * 0.00029752558,0.0635458930674445,x0*0.00029752558,PySRFunction(X=>x0*0.00029752558)
4,0.001707805,log(x0) + -5.648091,0.5895821606686881,log(x0) - 5.648091,PySRFunction(X=>log(x0) - 5.648091)
5,0.0011228268,2.6898496 / (348.81805 - x0),0.419359486110465,2.6898496/(348.81805 - x0),PySRFunction(X=>2.6898496/(348.81805 - x0))
6,0.00074863253,exp(x1) / (343.80566 - x0),0.40535646412753545,exp(x1)/(343.80566 - x0),PySRFunction(X=>exp(x1)/(343.80566 - x0))
7,0.0004422417,exp(sqrt(x1)) / (344.39563 - x0),0.5263916837760828,exp(sqrt(x1))/(344.39563 - x0),PySRFunction(X=>exp(sqrt(x1))/(344.39563 - x0))
8,0.00032104293,(exp(x1) + 1.0828228) / (349.71555 - x0),0.32028171269283084,(exp(x1) + 1.0828228)/(349.71555 - x0),PySRFunction(X=>(exp(x1) + 1.0828228)/(349.71555 - x0))
9,0.00021046565,exp(sqrt(x1)) / ((352.0649 - x0) / 1.6330448),0.42225239559680516,exp(sqrt(x1))/(215.588023059747 - 0.612353072003903*x0),PySRFunction(X=>exp(sqrt(x1))/(215.588023059747 - 0.612353072003903*x0))
10,0.00013797033,(9.900568 / (371.232 - x0)) + (-0.1320305 / exp(x1)),0.42228379486740475,-0.1320305*exp(-x1) + 9.900568/(371.232 - x0),PySRFunction(X=>-0.1320305*exp(-x1) + 9.900568/(371.232 - x0))
11,0.00010422157,((x1 * 0.09255071) + (6.5776124 / (363.42386 - x0))) + -0.09210888,0.280519548386703,x1*0.09255071 - 0.09210888 + 6.5776124/(363.42386 - x0),PySRFunction(X=>x1*0.09255071 - 0.09210888 + 6.5776124/(363.42386 - x0))
13,9.226656e-05,(((x1 + 5.7078924) / (362.2146 - x0)) + (x1 * 0.068842314)) - 0.07644739,0.06091866732465799,x1*0.068842314 - 1*0.07644739 + (x1 + 5.7078924)/(362.2146 - x0),PySRFunction(X=>x1*0.068842314 - 1*0.07644739 + (x1 + 5.7078924)/(362.2146 - x0))
14,7.509752e-05,((sqrt(x1) + 4.2593164) / (357.3662 - x0)) + (-0.059553877 - (x1 * -0.06448917)),0.20589424341702736,0.06448917*x1 - 0.059553877 + (sqrt(x1) + 4.2593164)/(357.3662 - x0),PySRFunction(X=>0.06448917*x1 - 0.059553877 + (sqrt(x1) + 4.2593164)/(357.3662 - x0))
15,6.7019166e-05,(((sqrt(sqrt(x1)) + 4.063667) / (356.72394 - x0)) + (x1 * 0.06421083)) + -0.05856041,0.11380889740316169,0.06421083*x1 - 0.05856041 + (x1**(1/4) + 4.063667)/(356.72394 - x0),PySRFunction(X=>0.06421083*x1 - 0.05856041 + (x1**(1/4) + 4.063667)/(356.72394 - x0))
17,4.7793306e-05,((exp(x1) * 0.03841929) + ((sqrt(sqrt(sqrt(x1))) + 3.592053) / (355.30157 - x0))) + -0.08755392,0.14454785256307545,0.03841929*exp(x1) - 0.08755392 + (x1**(1/8) + 3.592053)/(355.30157 - x0),PySRFunction(X=>0.03841929*exp(x1) - 0.08755392 + (x1**(1/8) + 3.592053)/(355.30157 - x0))
18,4.5154768e-05,(((sqrt(sqrt(sqrt(sqrt(x1)))) + 3.604496) / (355.37506 - x0)) + (exp(x1) * 0.038764928)) + -0.08883524,0.05678971001855602,0.038764928*exp(x1) - 0.08883524 + (x1**(1/16) + 3.604496)/(355.37506 - x0),PySRFunction(X=>0.038764928*exp(x1) - 0.08883524 + (x1**(1/16) + 3.604496)/(355.37506 - x0))
19,4.4216813e-05,(((sqrt(sqrt(sqrt(sqrt(sqrt(x1))))) + 3.6608424) / (355.5955 - x0)) + (exp(x1) * 0.039062604)) + -0.09037477,0.02099077645992556,0.039062604*exp(x1) - 0.09037477 + (x1**(1/32) + 3.6608424)/(355.5955 - x0),PySRFunction(X=>0.039062604*exp(x1) - 0.09037477 + (x1**(1/32) + 3.6608424)/(355.5955 - x0))
20,4.3382155e-05,((exp(x1) * 0.03965602) + (6.3330784 / (368.46512 - (x0 + (sqrt(sqrt(sqrt(sqrt(x1)))) * 7.9343367))))) - 0.11354792,0.01905691993566507,0.03965602*exp(x1) - 0.11354792 + 6.3330784/(-x0 - 7.9343367*x1**(1/16) + 368.46512),PySRFunction(X=>0.03965602*exp(x1) - 0.11354792 + 6.3330784/(-x0 - 7.9343367*x1**(1/16) + 368.46512))
