Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.996,"TP_60°C,0%SOC",60.0,0.0,1.0,0.6843540587292689
160,2.995,"TP_60°C,0%SOC",60.0,0.0,0.9996662216288384,0.6843540587292689
277,2.986,"TP_60°C,0%SOC",60.0,0.0,0.9966622162883846,0.6843540587292689
409,2.978,"TP_60°C,0%SOC",60.0,0.0,0.9939919893190922,0.6843540587292689
708,2.967,"TP_60°C,0%SOC",60.0,0.0,0.9903204272363151,0.6843540587292689
1009,2.958,"TP_60°C,0%SOC",60.0,0.0,0.9873164218958612,0.6843540587292689
1286,2.949,"TP_60°C,0%SOC",60.0,0.0,0.9843124165554071,0.6843540587292689
1945,2.939,"TP_60°C,0%SOC",60.0,0.0,0.9809746328437917,0.6843540587292689
2579,2.93,"TP_60°C,0%SOC",60.0,0.0,0.9779706275033379,0.6843540587292689
3287,2.922,"TP_60°C,0%SOC",60.0,0.0,0.9753004005340454,0.6843540587292689
3873,2.915,"TP_60°C,0%SOC",60.0,0.0,0.9729639519359146,0.6843540587292689
4483,2.909,"TP_60°C,0%SOC",60.0,0.0,0.9709612817089452,0.6843540587292689
5119,2.902,"TP_60°C,0%SOC",60.0,0.0,0.9686248331108145,0.6843540587292689
5753,2.894,"TP_60°C,0%SOC",60.0,0.0,0.9659546061415221,0.6843540587292689
6388,2.894,"TP_60°C,0%SOC",60.0,0.0,0.9659546061415221,0.6843540587292689
7027,2.877,"TP_60°C,0%SOC",60.0,0.0,0.9602803738317757,0.6843540587292689
7663,2.867,"TP_60°C,0%SOC",60.0,0.0,0.9569425901201603,0.6843540587292689
8300,2.858,"TP_60°C,0%SOC",60.0,0.0,0.9539385847797063,0.6843540587292689
9032,2.841,"TP_60°C,0%SOC",60.0,0.0,0.94826435246996,0.6843540587292689
9666,2.833,"TP_60°C,0%SOC",60.0,0.0,0.9455941255006676,0.6843540587292689
10302,2.825,"TP_60°C,0%SOC",60.0,0.0,0.9429238985313753,0.6843540587292689
10939,2.816,"TP_60°C,0%SOC",60.0,0.0,0.9399198931909212,0.6843540587292689
11575,2.806,"TP_60°C,0%SOC",60.0,0.0,0.9365821094793058,0.6843540587292689
12211,2.796,"TP_60°C,0%SOC",60.0,0.0,0.9332443257676902,0.6843540587292689
12844,2.786,"TP_60°C,0%SOC",60.0,0.0,0.9299065420560748,0.6843540587292689
13481,2.776,"TP_60°C,0%SOC",60.0,0.0,0.9265687583444592,0.6843540587292689
14119,2.766,"TP_60°C,0%SOC",60.0,0.0,0.9232309746328438,0.6843540587292689
14695,2.756,"TP_60°C,0%SOC",60.0,0.0,0.9198931909212282,0.6843540587292689
15148,2.739,"TP_60°C,0%SOC",60.0,0.0,0.914218958611482,0.6843540587292689
15811,2.73,"TP_60°C,0%SOC",60.0,0.0,0.9112149532710281,0.6843540587292689
17001,2.719,"TP_60°C,0%SOC",60.0,0.0,0.907543391188251,0.6843540587292689
18239,2.705,"TP_60°C,0%SOC",60.0,0.0,0.9028704939919894,0.6843540587292689
19190,2.69,"TP_60°C,0%SOC",60.0,0.0,0.8978638184245661,0.6843540587292689
20163,2.679,"TP_60°C,0%SOC",60.0,0.0,0.894192256341789,0.6843540587292689
21241,2.651,"TP_60°C,0%SOC",60.0,0.0,0.8848464619492656,0.6843540587292689
