Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.999,"TP_40°C,25%SOC",40.0,0.25,1.0,0.16387566874990522
160,2.991,"TP_40°C,25%SOC",40.0,0.25,0.9973324441480493,0.16387566874990522
277,2.986,"TP_40°C,25%SOC",40.0,0.25,0.9956652217405803,0.16387566874990522
409,2.981,"TP_40°C,25%SOC",40.0,0.25,0.993997999333111,0.16387566874990522
708,2.97,"TP_40°C,25%SOC",40.0,0.25,0.9903301100366789,0.16387566874990522
1009,2.963,"TP_40°C,25%SOC",40.0,0.25,0.987995998666222,0.16387566874990522
1286,2.957,"TP_40°C,25%SOC",40.0,0.25,0.985995331777259,0.16387566874990522
1945,2.945,"TP_40°C,25%SOC",40.0,0.25,0.9819939979993331,0.16387566874990522
2579,2.935,"TP_40°C,25%SOC",40.0,0.25,0.9786595531843948,0.16387566874990522
3287,2.926,"TP_40°C,25%SOC",40.0,0.25,0.9756585528509504,0.16387566874990522
3873,2.918,"TP_40°C,25%SOC",40.0,0.25,0.9729909969989997,0.16387566874990522
4483,2.91,"TP_40°C,25%SOC",40.0,0.25,0.970323441147049,0.16387566874990522
5119,2.903,"TP_40°C,25%SOC",40.0,0.25,0.9679893297765921,0.16387566874990522
5753,2.896,"TP_40°C,25%SOC",40.0,0.25,0.9656552184061353,0.16387566874990522
6388,2.888,"TP_40°C,25%SOC",40.0,0.25,0.9629876625541847,0.16387566874990522
7027,2.882,"TP_40°C,25%SOC",40.0,0.25,0.9609869956652217,0.16387566874990522
7663,2.877,"TP_40°C,25%SOC",40.0,0.25,0.9593197732577525,0.16387566874990522
8300,2.871,"TP_40°C,25%SOC",40.0,0.25,0.9573191063687896,0.16387566874990522
9032,2.86,"TP_40°C,25%SOC",40.0,0.25,0.9536512170723573,0.16387566874990522
9666,2.855,"TP_40°C,25%SOC",40.0,0.25,0.9519839946648883,0.16387566874990522
10302,2.85,"TP_40°C,25%SOC",40.0,0.25,0.9503167722574192,0.16387566874990522
10939,2.845,"TP_40°C,25%SOC",40.0,0.25,0.94864954984995,0.16387566874990522
11575,2.839,"TP_40°C,25%SOC",40.0,0.25,0.9466488829609869,0.16387566874990522
12211,2.833,"TP_40°C,25%SOC",40.0,0.25,0.944648216072024,0.16387566874990522
12844,2.829,"TP_40°C,25%SOC",40.0,0.25,0.9433144381460488,0.16387566874990522
13481,2.822,"TP_40°C,25%SOC",40.0,0.25,0.9409803267755918,0.16387566874990522
14119,2.817,"TP_40°C,25%SOC",40.0,0.25,0.9393131043681228,0.16387566874990522
14695,2.812,"TP_40°C,25%SOC",40.0,0.25,0.9376458819606535,0.16387566874990522
15148,2.805,"TP_40°C,25%SOC",40.0,0.25,0.9353117705901968,0.16387566874990522
15811,2.802,"TP_40°C,25%SOC",40.0,0.25,0.9343114371457152,0.16387566874990522
17001,2.793,"TP_40°C,25%SOC",40.0,0.25,0.9313104368122708,0.16387566874990522
18239,2.785,"TP_40°C,25%SOC",40.0,0.25,0.9286428809603201,0.16387566874990522
19190,2.778,"TP_40°C,25%SOC",40.0,0.25,0.9263087695898633,0.16387566874990522
20163,2.771,"TP_40°C,25%SOC",40.0,0.25,0.9239746582194064,0.16387566874990522
21241,2.761,"TP_40°C,25%SOC",40.0,0.25,0.9206402134044681,0.16387566874990522
