Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.993,"TP_25°C,50%SOC",25.0,0.5,1.0,0.12330367674277432
160,2.986,"TP_25°C,50%SOC",25.0,0.5,0.9976612094888073,0.12330367674277432
277,2.985,"TP_25°C,50%SOC",25.0,0.5,0.9973270965586368,0.12330367674277432
409,2.981,"TP_25°C,50%SOC",25.0,0.5,0.9959906448379552,0.12330367674277432
708,2.975,"TP_25°C,50%SOC",25.0,0.5,0.9939859672569329,0.12330367674277432
1009,2.964,"TP_25°C,50%SOC",25.0,0.5,0.9903107250250585,0.12330367674277432
1286,2.959,"TP_25°C,50%SOC",25.0,0.5,0.9886401603742065,0.12330367674277432
1945,2.953,"TP_25°C,50%SOC",25.0,0.5,0.9866354827931841,0.12330367674277432
2579,2.947,"TP_25°C,50%SOC",25.0,0.5,0.9846308052121617,0.12330367674277432
3287,2.942,"TP_25°C,50%SOC",25.0,0.5,0.9829602405613098,0.12330367674277432
3873,2.937,"TP_25°C,50%SOC",25.0,0.5,0.9812896759104577,0.12330367674277432
4483,2.933,"TP_25°C,50%SOC",25.0,0.5,0.9799532241897762,0.12330367674277432
5119,2.929,"TP_25°C,50%SOC",25.0,0.5,0.9786167724690945,0.12330367674277432
5753,2.924,"TP_25°C,50%SOC",25.0,0.5,0.9769462078182426,0.12330367674277432
6388,2.918,"TP_25°C,50%SOC",25.0,0.5,0.9749415302372203,0.12330367674277432
7027,2.918,"TP_25°C,50%SOC",25.0,0.5,0.9749415302372203,0.12330367674277432
7663,2.914,"TP_25°C,50%SOC",25.0,0.5,0.9736050785165387,0.12330367674277432
8300,2.912,"TP_25°C,50%SOC",25.0,0.5,0.9729368526561978,0.12330367674277432
9032,2.905,"TP_25°C,50%SOC",25.0,0.5,0.970598062145005,0.12330367674277432
9666,2.903,"TP_25°C,50%SOC",25.0,0.5,0.9699298362846642,0.12330367674277432
10302,2.9,"TP_25°C,50%SOC",25.0,0.5,0.9689274974941531,0.12330367674277432
10939,2.895,"TP_25°C,50%SOC",25.0,0.5,0.967256932843301,0.12330367674277432
11575,2.892,"TP_25°C,50%SOC",25.0,0.5,0.9662545940527898,0.12330367674277432
12211,2.89,"TP_25°C,50%SOC",25.0,0.5,0.9655863681924491,0.12330367674277432
12844,2.887,"TP_25°C,50%SOC",25.0,0.5,0.9645840294019379,0.12330367674277432
13481,2.884,"TP_25°C,50%SOC",25.0,0.5,0.9635816906114266,0.12330367674277432
14119,2.881,"TP_25°C,50%SOC",25.0,0.5,0.9625793518209155,0.12330367674277432
14695,2.878,"TP_25°C,50%SOC",25.0,0.5,0.9615770130304043,0.12330367674277432
15148,2.874,"TP_25°C,50%SOC",25.0,0.5,0.9602405613097228,0.12330367674277432
15811,2.872,"TP_25°C,50%SOC",25.0,0.5,0.9595723354493819,0.12330367674277432
17001,2.868,"TP_25°C,50%SOC",25.0,0.5,0.9582358837287003,0.12330367674277432
18239,2.864,"TP_25°C,50%SOC",25.0,0.5,0.9568994320080187,0.12330367674277432
19190,2.861,"TP_25°C,50%SOC",25.0,0.5,0.9558970932175076,0.12330367674277432
20163,2.857,"TP_25°C,50%SOC",25.0,0.5,0.9545606414968261,0.12330367674277432
21241,2.852,"TP_25°C,50%SOC",25.0,0.5,0.9528900768459739,0.12330367674277432
