Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.991,"TP_60°C,100%SOC",60.0,1.0,1.0,0.08638231318759382
160,2.914,"TP_60°C,100%SOC",60.0,1.0,0.974256101638248,0.08638231318759382
277,2.88,"TP_60°C,100%SOC",60.0,1.0,0.9628886659979939,0.08638231318759382
409,2.856,"TP_60°C,100%SOC",60.0,1.0,0.9548645937813439,0.08638231318759382
708,2.819,"TP_60°C,100%SOC",60.0,1.0,0.9424941491140086,0.08638231318759382
1009,2.793,"TP_60°C,100%SOC",60.0,1.0,0.9338014042126379,0.08638231318759382
1286,2.771,"TP_60°C,100%SOC",60.0,1.0,0.9264460046807087,0.08638231318759382
1945,2.732,"TP_60°C,100%SOC",60.0,1.0,0.9134068873286527,0.08638231318759382
2579,2.701,"TP_60°C,100%SOC",60.0,1.0,0.9030424607154798,0.08638231318759382
3287,2.677,"TP_60°C,100%SOC",60.0,1.0,0.8950183884988298,0.08638231318759382
3873,2.659,"TP_60°C,100%SOC",60.0,1.0,0.8890003343363423,0.08638231318759382
4483,2.642,"TP_60°C,100%SOC",60.0,1.0,0.8833166165162153,0.08638231318759382
5119,2.622,"TP_60°C,100%SOC",60.0,1.0,0.8766298896690069,0.08638231318759382
5753,2.601,"TP_60°C,100%SOC",60.0,1.0,0.8696088264794383,0.08638231318759382
6388,2.579,"TP_60°C,100%SOC",60.0,1.0,0.8622534269475092,0.08638231318759382
7027,2.561,"TP_60°C,100%SOC",60.0,1.0,0.8562353727850217,0.08638231318759382
7663,2.544,"TP_60°C,100%SOC",60.0,1.0,0.8505516549648947,0.08638231318759382
8300,2.53,"TP_60°C,100%SOC",60.0,1.0,0.8458709461718488,0.08638231318759382
9032,2.512,"TP_60°C,100%SOC",60.0,1.0,0.8398528920093614,0.08638231318759382
9666,2.497,"TP_60°C,100%SOC",60.0,1.0,0.8348378468739551,0.08638231318759382
10302,2.485,"TP_60°C,100%SOC",60.0,1.0,0.8308258107656301,0.08638231318759382
10939,2.473,"TP_60°C,100%SOC",60.0,1.0,0.8268137746573052,0.08638231318759382
11575,2.46,"TP_60°C,100%SOC",60.0,1.0,0.8224674022066198,0.08638231318759382
12211,2.448,"TP_60°C,100%SOC",60.0,1.0,0.8184553660982948,0.08638231318759382
12844,2.436,"TP_60°C,100%SOC",60.0,1.0,0.8144433299899698,0.08638231318759382
13481,2.424,"TP_60°C,100%SOC",60.0,1.0,0.8104312938816449,0.08638231318759382
14119,2.413,"TP_60°C,100%SOC",60.0,1.0,0.8067535941156803,0.08638231318759382
14695,2.402,"TP_60°C,100%SOC",60.0,1.0,0.8030758943497158,0.08638231318759382
15148,2.394,"TP_60°C,100%SOC",60.0,1.0,0.8004012036108326,0.08638231318759382
15811,2.384,"TP_60°C,100%SOC",60.0,1.0,0.7970578401872283,0.08638231318759382
17001,2.369,"TP_60°C,100%SOC",60.0,1.0,0.7920427950518222,0.08638231318759382
18239,2.353,"TP_60°C,100%SOC",60.0,1.0,0.7866934135740555,0.08638231318759382
19190,2.341,"TP_60°C,100%SOC",60.0,1.0,0.7826813774657305,0.08638231318759382
20163,2.329,"TP_60°C,100%SOC",60.0,1.0,0.7786693413574056,0.08638231318759382
21241,2.316,"TP_60°C,100%SOC",60.0,1.0,0.77432296890672,0.08638231318759382
