Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.994,"TP_40°C,12.5%SOC",40.0,0.125,1.0,0.212277911371637
160,3.001,"TP_40°C,12.5%SOC",40.0,0.125,1.0023380093520373,0.212277911371637
277,2.998,"TP_40°C,12.5%SOC",40.0,0.125,1.0013360053440215,0.212277911371637
409,2.993,"TP_40°C,12.5%SOC",40.0,0.125,0.9996659986639945,0.212277911371637
708,2.985,"TP_40°C,12.5%SOC",40.0,0.125,0.9969939879759518,0.212277911371637
1009,2.98,"TP_40°C,12.5%SOC",40.0,0.125,0.9953239812959251,0.212277911371637
1286,2.974,"TP_40°C,12.5%SOC",40.0,0.125,0.9933199732798931,0.212277911371637
1945,2.965,"TP_40°C,12.5%SOC",40.0,0.125,0.9903139612558449,0.212277911371637
2579,2.957,"TP_40°C,12.5%SOC",40.0,0.125,0.9876419505678021,0.212277911371637
3287,2.95,"TP_40°C,12.5%SOC",40.0,0.125,0.9853039412157648,0.212277911371637
3873,2.943,"TP_40°C,12.5%SOC",40.0,0.125,0.9829659318637274,0.212277911371637
4483,2.937,"TP_40°C,12.5%SOC",40.0,0.125,0.9809619238476953,0.212277911371637
5119,2.931,"TP_40°C,12.5%SOC",40.0,0.125,0.9789579158316633,0.212277911371637
5753,2.924,"TP_40°C,12.5%SOC",40.0,0.125,0.9766199064796258,0.212277911371637
6388,2.918,"TP_40°C,12.5%SOC",40.0,0.125,0.9746158984635939,0.212277911371637
7027,2.913,"TP_40°C,12.5%SOC",40.0,0.125,0.972945891783567,0.212277911371637
7663,2.907,"TP_40°C,12.5%SOC",40.0,0.125,0.970941883767535,0.212277911371637
8300,2.902,"TP_40°C,12.5%SOC",40.0,0.125,0.9692718770875083,0.212277911371637
9032,2.892,"TP_40°C,12.5%SOC",40.0,0.125,0.9659318637274548,0.212277911371637
9666,2.888,"TP_40°C,12.5%SOC",40.0,0.125,0.9645958583834334,0.212277911371637
10302,2.884,"TP_40°C,12.5%SOC",40.0,0.125,0.9632598530394121,0.212277911371637
10939,2.879,"TP_40°C,12.5%SOC",40.0,0.125,0.9615898463593854,0.212277911371637
11575,2.873,"TP_40°C,12.5%SOC",40.0,0.125,0.9595858383433534,0.212277911371637
12211,2.868,"TP_40°C,12.5%SOC",40.0,0.125,0.9579158316633265,0.212277911371637
12844,2.863,"TP_40°C,12.5%SOC",40.0,0.125,0.9562458249832999,0.212277911371637
13481,2.859,"TP_40°C,12.5%SOC",40.0,0.125,0.9549098196392785,0.212277911371637
14119,2.854,"TP_40°C,12.5%SOC",40.0,0.125,0.9532398129592518,0.212277911371637
14695,2.849,"TP_40°C,12.5%SOC",40.0,0.125,0.9515698062792252,0.212277911371637
15148,2.842,"TP_40°C,12.5%SOC",40.0,0.125,0.9492317969271876,0.212277911371637
15811,2.838,"TP_40°C,12.5%SOC",40.0,0.125,0.9478957915831663,0.212277911371637
17001,2.831,"TP_40°C,12.5%SOC",40.0,0.125,0.9455577822311289,0.212277911371637
18239,2.822,"TP_40°C,12.5%SOC",40.0,0.125,0.9425517702070808,0.212277911371637
19190,2.816,"TP_40°C,12.5%SOC",40.0,0.125,0.9405477621910486,0.212277911371637
20163,2.809,"TP_40°C,12.5%SOC",40.0,0.125,0.9382097528390113,0.212277911371637
21241,2.799,"TP_40°C,12.5%SOC",40.0,0.125,0.9348697394789578,0.212277911371637
